loss,mae,val_loss,val_mae,learning_rate
0.2001934051513672,0.2956417500972748,0.013672729022800922,0.09602779895067215,0.0010000000474974513
0.048206910490989685,0.15344862639904022,0.011914809234440327,0.08804053068161011,0.0010000000474974513
0.028134120628237724,0.11697550863027573,0.019852343946695328,0.12206216901540756,0.0010000000474974513
0.021621420979499817,0.10068237036466599,0.015564446337521076,0.10620012879371643,0.0010000000474974513
0.01924135535955429,0.09372758865356445,0.006909506395459175,0.06560928374528885,0.0010000000474974513
0.017939526587724686,0.09004422277212143,0.01531010027974844,0.10745705664157867,0.0010000000474974513
0.01637974940240383,0.08587410300970078,0.010412066243588924,0.08436474949121475,0.0010000000474974513
0.014150836504995823,0.07929021865129471,0.015196772292256355,0.10550670325756073,0.0010000000474974513
0.012788856402039528,0.07607506215572357,0.01021443959325552,0.08295973390340805,0.0005000000237487257
0.012041355483233929,0.07258609682321548,0.0103787025436759,0.08312144875526428,0.0005000000237487257
